country,Year,population_total,income_per_person_gdppercapita_ppp_inflation_adjusted (1),energy_use_per_person (1)
China,1981,1.03B,1400,607
China,1982,1.04B,1410,622
China,1983,1.06B,1500,651
China,1984,1.08B,1540,658
China,1985,1.1B,1560,671
China,1986,1.12B,1600,694
China,1987,1.14B,1590,720
China,1988,1.16B,1510,724
China,1989,1.18B,1420,767
China,1990,1.19B,1540,737
China,1991,1.21B,1730,753
China,1992,1.22B,1950,788
China,1993,1.23B,2180,816
China,1994,1.24B,2390,867
China,1995,1.25B,2600,882
China,1996,1.26B,2810,872
China,1997,1.27B,3000,869
China,1998,1.28B,3210,879
China,1999,1.29B,3450,899
China,2000,1.3B,3710,929
China,2001,1.31B,4020,985
China,2002,1.32B,4400,1120
China,2003,1.32B,4820,1270
China,2004,1.33B,5340,1390
China,2005,1.34B,5980,1520
China,2006,1.35B,6800,1630
China,2007,1.35B,7410,1670
China,2008,1.36B,8070,1780
China,2009,1.37B,8890,1950
China,2010,1.38B,9690,2090
Cote d'Ivoire,1970,5.33M,3310,461
Cote d'Ivoire,1971,5.58M,3320,467
Cote d'Ivoire,1972,5.84M,3420,461
Cote d'Ivoire,1973,6.12M,3370,459
Cote d'Ivoire,1974,6.41M,3230,462
Cote d'Ivoire,1975,6.71M,3470,475
Cote d'Ivoire,1976,7.03M,3490,463
Cote d'Ivoire,1977,7.35M,3680,473
Cote d'Ivoire,1978,7.69M,3610,458
Cote d'Ivoire,1979,8.03M,3740,445
Cote d'Ivoire,1980,8.39M,3730,424
Cote d'Ivoire,1981,8.76M,3600,404
Cote d'Ivoire,1982,9.14M,3340,378
Cote d'Ivoire,1983,9.53M,3110,369
Cote d'Ivoire,1984,9.92M,3150,373
Cote d'Ivoire,1985,10.3M,3130,398
Cote d'Ivoire,1986,10.7M,2970,392
Cote d'Ivoire,1987,11.1M,2810,385
Cote d'Ivoire,1988,11.5M,2700,384
Cote d'Ivoire,1989,11.9M,2400,364
Cote d'Ivoire,1990,12.4M,2340,362
Cote d'Ivoire,1991,12.8M,2310,380
Cote d'Ivoire,1992,13.3M,2280,380
Cote d'Ivoire,1993,13.7M,2250,377
Cote d'Ivoire,1994,14.2M,2340,363
Cote d'Ivoire,1995,14.7M,2510,395
Cote d'Ivoire,1996,15.1M,2630,390
Cote d'Ivoire,1997,15.6M,2750,378
Cote d'Ivoire,1998,16M,2780,438
Cote d'Ivoire,1999,16.5M,2710,413
Cote d'Ivoire,2000,16.9M,2700,387
Cote d'Ivoire,2001,17.2M,2640,405
Cote d'Ivoire,2002,17.6M,2600,375
Cote d'Ivoire,2003,18M,2620,517
Cote d'Ivoire,2004,18.4M,2660,524
Cote d'Ivoire,2005,18.8M,2700,504
Cote d'Ivoire,2006,19.2M,2740,531
Cote d'Ivoire,2007,19.6M,2800,522
Cote d'Ivoire,2008,20.1M,2890,467
Cote d'Ivoire,2009,20.5M,2940,495
Cote d'Ivoire,2010,21M,2810,554
Cameroon,1970,6.69M,2800,403
Cameroon,1971,6.87M,2820,401
Cameroon,1972,7.05M,2880,399
Cameroon,1973,7.25M,2910,399
Cameroon,1974,7.45M,2940,407
Cameroon,1975,7.66M,2710,402
Cameroon,1976,7.89M,3000,418
Cameroon,1977,8.12M,3560,419
Cameroon,1978,8.37M,3670,422
Cameroon,1979,8.62M,3990,424
Cameroon,1980,8.89M,4160,432
Cameroon,1981,9.17M,4350,438
Cameroon,1982,9.46M,4580,439
Cameroon,1983,9.76M,4800,440
Cameroon,1984,10.1M,4770,443
Cameroon,1985,10.4M,4390,435
Cameroon,1986,10.7M,4020,429
Cameroon,1987,11.1M,3760,429
Cameroon,1988,11.4M,3530,431
Cameroon,1989,11.8M,3220,423
Cameroon,1990,12.1M,3010,414
Cameroon,1991,12.5M,2830,407
Cameroon,1992,12.9M,2530,409
Cameroon,1993,13.2M,2520,411
Cameroon,1994,13.6M,2530,407
Cameroon,1995,14M,2570,406
Cameroon,1996,14.3M,2640,407
Cameroon,1997,14.7M,2680,408
Cameroon,1998,15.1M,2730,400
Cameroon,1999,15.5M,2750,407
Cameroon,2000,15.9M,2800,401
Cameroon,2001,16.4M,2840,400
Cameroon,2002,16.8M,2890,405
Cameroon,2003,17.3M,3000,406
Cameroon,2004,17.7M,2980,398
Cameroon,2005,18.2M,3000,369
Cameroon,2006,18.7M,3060,338
Cameroon,2007,19.3M,3090,332
Cameroon,2008,19.8M,3070,349
Cameroon,2009,20.3M,3090,342
Cameroon,2010,20.9M,3130,321
"Congo, Dem. Rep.",1970,20.6M,2760,325
"Congo, Dem. Rep.",1971,21.1M,2700,324
"Congo, Dem. Rep.",1972,21.7M,2850,327
"Congo, Dem. Rep.",1973,22.3M,2860,327
"Congo, Dem. Rep.",1974,22.9M,2650,326
"Congo, Dem. Rep.",1975,23.6M,2440,322
"Congo, Dem. Rep.",1976,24.2M,2400,323
"Congo, Dem. Rep.",1977,25M,2210,322
"Congo, Dem. Rep.",1978,25.7M,2160,327
"Congo, Dem. Rep.",1979,26.4M,2150,321
"Congo, Dem. Rep.",1980,27M,2150,328
"Congo, Dem. Rep.",1981,27.7M,2090,321
"Congo, Dem. Rep.",1982,28.4M,2070,334
"Congo, Dem. Rep.",1983,29.1M,2140,342
"Congo, Dem. Rep.",1984,29.9M,2100,333
"Congo, Dem. Rep.",1985,30.7M,2140,331
"Congo, Dem. Rep.",1986,31.5M,2150,335
"Congo, Dem. Rep.",1987,32.4M,2100,338
"Congo, Dem. Rep.",1988,33.5M,2010,336
"Congo, Dem. Rep.",1989,34.6M,1820,341
"Congo, Dem. Rep.",1990,35.9M,1610,329
"Congo, Dem. Rep.",1991,37.3M,1380,322
"Congo, Dem. Rep.",1992,38.8M,1150,316
"Congo, Dem. Rep.",1993,40.3M,1070,306
"Congo, Dem. Rep.",1994,41.6M,1040,309
"Congo, Dem. Rep.",1995,42.8M,1000,310
"Congo, Dem. Rep.",1996,43.8M,921,308
"Congo, Dem. Rep.",1997,44.8M,886,308
"Congo, Dem. Rep.",1998,45.9M,828,303
"Congo, Dem. Rep.",1999,47.1M,752,295
"Congo, Dem. Rep.",2000,48.4M,716,297
"Congo, Dem. Rep.",2001,49.9M,715,298
"Congo, Dem. Rep.",2002,51.4M,733,300
"Congo, Dem. Rep.",2003,53.1M,758,302
"Congo, Dem. Rep.",2004,54.8M,779,304
"Congo, Dem. Rep.",2005,56.6M,794,306
"Congo, Dem. Rep.",2006,58.5M,817,307
"Congo, Dem. Rep.",2007,60.4M,840,308
"Congo, Dem. Rep.",2008,62.4M,836,307
"Congo, Dem. Rep.",2009,64.6M,866,307
"Congo, Dem. Rep.",2010,66.8M,895,316
"Congo, Rep.",1970,1.37M,3110,372
"Congo, Rep.",1971,1.41M,3170,374
"Congo, Rep.",1972,1.45M,3650,368
"Congo, Rep.",1973,1.49M,3540,364
"Congo, Rep.",1974,1.54M,3430,360
"Congo, Rep.",1975,1.58M,3510,383
"Congo, Rep.",1976,1.63M,3180,354
"Congo, Rep.",1977,1.68M,3290,357
"Congo, Rep.",1978,1.73M,3580,346
"Congo, Rep.",1979,1.78M,3940,349
"Congo, Rep.",1980,1.83M,4670,349
"Congo, Rep.",1981,1.88M,5640,359
"Congo, Rep.",1982,1.94M,5820,391
"Congo, Rep.",1983,2M,6100,368
"Congo, Rep.",1984,2.05M,5900,372
"Congo, Rep.",1985,2.11M,5360,356
"Congo, Rep.",1986,2.17M,5250,352
"Congo, Rep.",1987,2.23M,5220,333
"Congo, Rep.",1988,2.29M,5190,337
"Congo, Rep.",1989,2.36M,5120,334
"Congo, Rep.",1990,2.42M,5100,339
"Congo, Rep.",1991,2.49M,5090,326
"Congo, Rep.",1992,2.56M,4900,319
"Congo, Rep.",1993,2.63M,4500,268
"Congo, Rep.",1994,2.71M,4550,297
"Congo, Rep.",1995,2.79M,4610,272
"Congo, Rep.",1996,2.87M,4460,253
"Congo, Rep.",1997,2.95M,4490,246
"Congo, Rep.",1998,3.04M,4250,235
"Congo, Rep.",1999,3.13M,4440,227
"Congo, Rep.",2000,3.22M,4480,247
"Congo, Rep.",2001,3.31M,4550,242
"Congo, Rep.",2002,3.41M,4460,278
"Congo, Rep.",2003,3.51M,4480,286
"Congo, Rep.",2004,3.62M,4680,300
"Congo, Rep.",2005,3.75M,4890,379
"Congo, Rep.",2006,3.88M,4410,325
"Congo, Rep.",2007,4.01M,4530,336
"Congo, Rep.",2008,4.15M,4890,371
"Congo, Rep.",2009,4.27M,5220,392
"Congo, Rep.",2010,4.39M,5190,508
Colombia,1970,22M,5730,630
Colombia,1971,22.5M,6010,616
Colombia,1972,23M,6250,606
Colombia,1973,23.5M,6450,627
Colombia,1974,24.1M,6450,641
Colombia,1975,24.6M,6600,652
Colombia,1976,25.2M,6730,657
Colombia,1977,25.7M,7150,640
Colombia,1978,26.3M,7380,611
Colombia,1979,26.9M,7500,658
Colombia,1980,27.5M,7480,652
Colombia,1981,28.1M,7380,656
Colombia,1982,28.7M,7310,663
Colombia,1983,29.3M,7390,671
Colombia,1984,30M,7450,667
Colombia,1985,30.6M,7720,712
Colombia,1986,31.2M,7950,721
Colombia,1987,31.8M,8100,728
Colombia,1988,32.5M,8180,720
Colombia,1989,33.1M,8340,732
Colombia,1990,33.8M,8340,725
Colombia,1991,34.4M,8510,728
Colombia,1992,35.1M,8790,747
Colombia,1993,35.8M,9130,759
Colombia,1994,36.4M,9430,758
Colombia,1995,37.1M,9460,763
Colombia,1996,37.7M,9610,727
Colombia,1997,38.4M,9510,749
Colombia,1998,39M,8960,659
Colombia,1999,39.6M,9070,651
Colombia,2000,40.3M,9080,639
Colombia,2001,40.9M,9170,617
Colombia,2002,41.5M,9390,620
Colombia,2003,42.1M,9750,618
Colombia,2004,42.6M,10.1k,635
Colombia,2005,43.2M,10.6k,659
Colombia,2006,43.7M,11.2k,647
Colombia,2007,44.3M,11.4k,669
Colombia,2008,44.8M,11.4k,686
Colombia,2009,45.2M,11.8k,690
Colombia,2010,45.7M,12.5k,684
Costa Rica,1970,1.9M,7480,426
Costa Rica,1971,1.94M,7950,444
Costa Rica,1972,1.99M,8380,471
Costa Rica,1973,2.04M,8630,450
Costa Rica,1974,2.09M,8600,475
Costa Rica,1975,2.15M,8850,467
Costa Rica,1976,2.21M,9410,530
Costa Rica,1977,2.26M,9650,558
Costa Rica,1978,2.33M,9860,561
Costa Rica,1979,2.39M,9810,526
Costa Rica,1980,2.46M,9390,481
Costa Rica,1981,2.52M,8530,456
Costa Rica,1982,2.59M,8550,437
Costa Rica,1983,2.66M,9000,461
Costa Rica,1984,2.74M,8840,462
Costa Rica,1985,2.81M,9100,471
Costa Rica,1986,2.88M,9310,489
Costa Rica,1987,2.96M,9410,488
Costa Rica,1988,3.04M,9730,530
Costa Rica,1989,3.12M,9870,538
Costa Rica,1990,3.2M,9830,556
Costa Rica,1991,3.29M,10.5k,699
Costa Rica,1992,3.37M,10.9k,695
Costa Rica,1993,3.46M,11.1k,668
Costa Rica,1994,3.55M,11.3k,665
Costa Rica,1995,3.63M,11.2k,652
Costa Rica,1996,3.72M,11.5k,645
Costa Rica,1997,3.8M,12k,627
Costa Rica,1998,3.89M,12.2k,677
Costa Rica,1999,3.96M,12.5k,725
Costa Rica,2000,4.03M,12.7k,717
Costa Rica,2001,4.1M,12.9k,742
Costa Rica,2002,4.16M,13.2k,784
Costa Rica,2003,4.23M,13.6k,915
Costa Rica,2004,4.29M,13.9k,902
Costa Rica,2005,4.35M,14.7k,963
Costa Rica,2006,4.4M,15.7k,1020
Costa Rica,2007,4.46M,16.2k,1030
Costa Rica,2008,4.52M,15.9k,1010
Costa Rica,2009,4.58M,16.4k,1020
Costa Rica,2010,4.63M,16.9k,1000
Cuba,1970,8.87M,3640,1180
Cuba,1971,9.03M,3740,1120
Cuba,1972,9.18M,4010,1180
Cuba,1973,9.32M,4150,1230
Cuba,1974,9.45M,4290,1240
Cuba,1975,9.55M,4350,1290
Cuba,1976,9.65M,4500,1390
Cuba,1977,9.72M,4730,1460
Cuba,1978,9.79M,4810,1490
Cuba,1979,9.85M,4720,1490
Cuba,1980,9.9M,5080,1490
Cuba,1981,9.94M,5160,1500
Cuba,1982,9.98M,5410,1580
Cuba,1983,10M,5810,1530
Cuba,1984,10.1M,5890,1510
Cuba,1985,10.2M,5840,1500
Cuba,1986,10.3M,5620,1540
Cuba,1987,10.4M,5740,1610
Cuba,1988,10.5M,5740,1740
Cuba,1989,10.6M,5420,1640
Cuba,1990,10.7M,4580,1350
Cuba,1991,10.7M,3910,1180
Cuba,1992,10.8M,3060,977
Cuba,1993,10.8M,3090,1000
Cuba,1994,10.9M,3290,998
Cuba,1995,10.9M,3740,1080
Cuba,1996,11M,3940,1110
Cuba,1997,11M,3930,1030
Cuba,1998,11.1M,4170,1070
Cuba,1999,11.1M,4610,1140
Cuba,2000,11.2M,4870,1110
Cuba,2001,11.2M,5030,1040
Cuba,2002,11.2M,5180,1030
Cuba,2003,11.3M,5250,1000
Cuba,2004,11.3M,5420,947
Cuba,2005,11.3M,6230,946
Cuba,2006,11.3M,6480,901
Cuba,2007,11.2M,6910,958
Cuba,2008,11.2M,7190,1020
Cuba,2009,11.2M,7570,1100
Cuba,2010,11.2M,7970,1030
Cyprus,1970,621k,9760,946
Cyprus,1971,628k,10.4k,1190
Cyprus,1972,635k,10.7k,1230
Cyprus,1973,642k,8900,925
Cyprus,1974,650k,7650,869
Cyprus,1975,658k,9310,998
Cyprus,1976,666k,10.9k,1070
Cyprus,1977,673k,11.8k,1120
Cyprus,1978,680k,13k,1210
Cyprus,1979,685k,13.8k,1260
Cyprus,1980,689k,14.2k,1230
Cyprus,1981,692k,15.1k,1250
Cyprus,1982,694k,15.9k,1290
Cyprus,1983,698k,17.3k,1330
Cyprus,1984,704k,18.1k,1310
Cyprus,1985,712k,18.9k,1460
Cyprus,1986,723k,20.1k,1640
Cyprus,1987,736k,21.8k,1640
Cyprus,1988,751k,23.6k,1680
Cyprus,1989,767k,25.2k,1780
Cyprus,1990,783k,24.7k,1780
Cyprus,1991,801k,26.3k,1960
Cyprus,1992,819k,25.9k,2060
Cyprus,1993,837k,26.9k,2300
Cyprus,1994,855k,28.6k,1980
Cyprus,1995,873k,28.5k,2160
Cyprus,1996,891k,28.8k,2070
Cyprus,1997,909k,30.2k,2170
Cyprus,1998,926k,31.4k,2150
Cyprus,1999,943k,32.9k,2270
Cyprus,2000,960k,33.8k,2200
Cyprus,2001,977k,34.7k,2190
Cyprus,2002,994k,35.2k,2350
Cyprus,2003,1.01M,36.4k,2160
Cyprus,2004,1.03M,37.7k,2160
Cyprus,2005,1.05M,38.8k,2210
Cyprus,2006,1.06M,39.9k,2290
Cyprus,2007,1.08M,40.3k,2390
Cyprus,2008,1.1M,38.5k,2300
Cyprus,2009,1.11M,38.2k,2200
Cyprus,2010,1.12M,37.4k,2110
Czech Republic,1970,9.85M,12.3k,4620
Czech Republic,1971,9.89M,13.1k,4610
Czech Republic,1972,9.95M,13.8k,4550
Czech Republic,1973,10M,14.5k,4190
Czech Republic,1974,10.1M,15.4k,4340
Czech Republic,1975,10.1M,16.1k,4440
Czech Republic,1976,10.2M,16.8k,4720
Czech Republic,1977,10.3M,17.6k,4430
Czech Republic,1978,10.3M,18k,4700
Czech Republic,1979,10.3M,18.5k,4560
Czech Republic,1980,10.4M,18.6k,4570
Czech Republic,1981,10.4M,18.5k,4630
Czech Republic,1982,10.4M,19k,4650
Czech Republic,1983,10.3M,19.7k,4740
Czech Republic,1984,10.3M,20.3k,4760
Czech Republic,1985,10.3M,21.1k,4840
Czech Republic,1986,10.3M,21.9k,4980
Czech Republic,1987,10.3M,22.5k,4880
Czech Republic,1988,10.3M,23.2k,4740
Czech Republic,1989,10.3M,23.7k,4800
Czech Republic,1990,10.3M,21k,4350
Czech Republic,1991,10.4M,20.8k,4220
Czech Republic,1992,10.4M,20.8k,4090
Czech Republic,1993,10.4M,21.4k,3960
Czech Republic,1994,10.4M,22.8k,4020
Czech Republic,1995,10.4M,23.8k,4150
Czech Republic,1996,10.3M,23.7k,4180
Czech Republic,1997,10.3M,23.7k,4060
Czech Republic,1998,10.3M,24k,3780
Czech Republic,1999,10.3M,25.1k,3990
Czech Republic,2000,10.3M,25.9k,4110
Czech Republic,2001,10.3M,26.4k,4160
Czech Republic,2002,10.2M,27.3k,4360
Czech Republic,2003,10.2M,28.6k,4460
Czech Republic,2004,10.3M,30.5k,4400
Czech Republic,2005,10.3M,32.5k,4490
Czech Republic,2006,10.4M,34.1k,4470
Czech Republic,2007,10.4M,34.7k,4330
Czech Republic,2008,10.5M,32.9k,4030
Czech Republic,2009,10.5M,33.6k,4240
Czech Republic,2010,10.6M,34.1k,4080
Germany,1970,78.8M,22.2k,3900
Germany,1971,78.9M,23.2k,4020
Germany,1972,78.9M,24.4k,4240
Germany,1973,78.9M,24.8k,4160
Germany,1974,78.9M,24.9k,3980
Germany,1975,78.8M,26.5k,4310
Germany,1976,78.7M,27.5k,4340
Germany,1977,78.6M,28.5k,4480
Germany,1978,78.4M,29.9k,4690
Germany,1979,78.3M,30.3k,4560
Germany,1980,78.1M,30.6k,4400
Germany,1981,77.9M,30.6k,4260
Germany,1982,77.8M,31.5k,4270
Germany,1983,77.7M,32.7k,4450
Germany,1984,77.7M,33.7k,4600
Germany,1985,77.8M,34.7k,4590
Germany,1986,78M,35.5k,4620
Germany,1987,78.3M,36.8k,4630
Germany,1988,78.7M,38k,4510
Germany,1989,79.1M,36.8k,4420
Germany,1990,79.5M,38.4k,4300
Germany,1991,80M,38.8k,4190
Germany,1992,80.4M,38.2k,4120
Germany,1993,80.8M,38.9k,4090
Germany,1994,81.1M,39.4k,4120
Germany,1995,81.3M,39.6k,4250
Germany,1996,81.4M,40.3k,4200
Germany,1997,81.4M,41.1k,4180
Germany,1998,81.4M,41.8k,4080
Germany,1999,81.4M,43k,4090
Germany,2000,81.5M,43.7k,4210
Germany,2001,81.5M,43.5k,4110
Germany,2002,81.6M,43.2k,4080
Germany,2003,81.6M,43.7k,4110
Germany,2004,81.6M,44k,4090
Germany,2005,81.5M,45.8k,4200
Germany,2006,81.3M,47.2k,3990
Germany,2007,81.1M,47.7k,4040
Germany,2008,80.9M,45.1k,3790
Germany,2009,80.8M,47.1k,4000
Germany,2010,80.9M,49.8k,3870
Denmark,1970,4.96M,25.1k,3730
Denmark,1971,4.99M,26.4k,3860
Denmark,1972,5.02M,27.3k,3780
Denmark,1973,5.04M,27.1k,3490
Denmark,1974,5.06M,26.9k,3450
Denmark,1975,5.08M,28.7k,3750
Denmark,1976,5.1M,29.3k,3830
Denmark,1977,5.11M,29.7k,3890
Denmark,1978,5.12M,30.9k,4020
Denmark,1979,5.12M,30.8k,3740
Denmark,1980,5.13M,30.7k,3380
Denmark,1981,5.12M,31.8k,3420
Denmark,1982,5.12M,32.8k,3230
Denmark,1983,5.12M,34.4k,3350
Denmark,1984,5.11M,36.1k,3770
Denmark,1985,5.11M,37.5k,3820
Denmark,1986,5.12M,37.7k,3820
Denmark,1987,5.12M,38.3k,3640
Denmark,1988,5.13M,38.6k,3410
Denmark,1989,5.14M,39.2k,3380
Denmark,1990,5.15M,39.6k,3730
Denmark,1991,5.17M,40.2k,3560
Denmark,1992,5.19M,40.1k,3650
Denmark,1993,5.21M,42.1k,3760
Denmark,1994,5.23M,43.2k,3710
Denmark,1995,5.25M,44.2k,4170
Denmark,1996,5.28M,45.4k,3850
Denmark,1997,5.3M,46.2k,3770
Denmark,1998,5.32M,47.5k,3600
Denmark,1999,5.34M,49.1k,3490
Denmark,2000,5.36M,49.3k,3580
Denmark,2001,5.37M,49.4k,3540
Denmark,2002,5.39M,49.4k,3730
Denmark,2003,5.4M,50.6k,3600
Denmark,2004,5.42M,51.6k,3490
Denmark,2005,5.44M,53.5k,3730
Denmark,2006,5.47M,53.7k,3620
Denmark,2007,5.5M,53.2k,3500
Denmark,2008,5.53M,50.3k,3330
Denmark,2009,5.55M,51k,3510
Denmark,2010,5.58M,51.5k,3230
Dominican Republic,1970,4.63M,3500,506
Dominican Republic,1971,4.76M,3870,574
Dominican Republic,1972,4.88M,4260,587
Dominican Republic,1973,5.01M,4440,602
Dominican Republic,1974,5.14M,4590,599
Dominican Republic,1975,5.28M,4820,603
Dominican Republic,1976,5.41M,4990,602
Dominican Republic,1977,5.54M,5030,603
Dominican Republic,1978,5.67M,5180,612
Dominican Republic,1979,5.8M,5420,592
Dominican Republic,1980,5.94M,5570,599
Dominican Republic,1981,6.07M,5590,598
Dominican Republic,1982,6.2M,5760,622
Dominican Republic,1983,6.33M,5710,642
Dominican Republic,1984,6.46M,5490,524
Dominican Republic,1985,6.6M,5590,533
Dominican Republic,1986,6.73M,5940,592
Dominican Republic,1987,6.86M,5910,555
Dominican Republic,1988,7M,6580,537
Dominican Republic,1989,7.13M,6200,563
Dominican Republic,1990,7.27M,6140,557
Dominican Republic,1991,7.41M,6710,606
Dominican Republic,1992,7.55M,7070,576
Dominican Republic,1993,7.68M,7120,650
Dominican Republic,1994,7.82M,7400,671
Dominican Republic,1995,7.95M,7710,689
Dominican Republic,1996,8.08M,8260,756
Dominican Republic,1997,8.21M,8670,786
Dominican Republic,1998,8.34M,9040,805
Dominican Republic,1999,8.47M,9320,852
Dominican Republic,2000,8.6M,9410,814
Dominican Republic,2001,8.72M,9690,852
Dominican Republic,2002,8.85M,9430,795
Dominican Republic,2003,8.97M,9530,709
Dominican Republic,2004,9.1M,10.3k,760
Dominican Republic,2005,9.22M,11.1k,777
Dominican Republic,2006,9.34M,11.8k,780
Dominican Republic,2007,9.46M,12k,772
Dominican Republic,2008,9.58M,11.9k,748
Dominican Republic,2009,9.7M,12.8k,777
Dominican Republic,2010,9.81M,13k,781
Algeria,1970,14.9M,5830,233
Algeria,1971,15.3M,6940,263
Algeria,1972,15.7M,7060,307
Algeria,1973,16.1M,7130,321
Algeria,1974,16.6M,7340,332
Algeria,1975,17.1M,7590,369
Algeria,1976,17.6M,8070,401
Algeria,1977,18.1M,8650,480
Algeria,1978,18.6M,9030,590
Algeria,1979,19.2M,8840,583
Algeria,1980,19.8M,8840,615
Algeria,1981,20.5M,9120,776
Algeria,1982,21.1M,9330,813
Algeria,1983,21.8M,9560,781
Algeria,1984,22.4M,9630,791
Algeria,1985,23.1M,9390,868
Algeria,1986,23.8M,9070,833
Algeria,1987,24.4M,8740,855
Algeria,1988,25.1M,8890,825
Algeria,1989,25.8M,8750,861
Algeria,1990,26.4M,8430,889
Algeria,1991,27M,8380,889
Algeria,1992,27.6M,8030,872
Algeria,1993,28.2M,7790,824
Algeria,1994,28.8M,7940,843
Algeria,1995,29.3M,8120,802
Algeria,1996,29.7M,8080,809
Algeria,1997,30.2M,8360,825
Algeria,1998,30.6M,8510,868
Algeria,1999,31M,8710,870
Algeria,2000,31.5M,8860,860
Algeria,2001,31.9M,9230,908
Algeria,2002,32.3M,9770,953
Algeria,2003,32.7M,10.1k,952
Algeria,2004,33.1M,10.5k,978
Algeria,2005,33.6M,10.5k,1030
Algeria,2006,34.2M,10.7k,1080
Algeria,2007,34.7M,10.8k,1070
Algeria,2008,35.3M,10.8k,1150
Algeria,2009,36M,11k,1110
Algeria,2010,36.7M,11.1k,1140
Ecuador,1970,6.25M,5670,358
Ecuador,1971,6.43M,5870,361
Ecuador,1972,6.61M,6450,356
Ecuador,1973,6.8M,6660,419
Ecuador,1974,6.99M,6850,449
Ecuador,1975,7.19M,7330,486
Ecuador,1976,7.38M,7620,567
Ecuador,1977,7.58M,7960,569
Ecuador,1978,7.78M,8190,585
Ecuador,1979,7.99M,8370,625
Ecuador,1980,8.2M,8520,634
Ecuador,1981,8.41M,8420,665
Ecuador,1982,8.62M,8070,601
Ecuador,1983,8.84M,8220,628
Ecuador,1984,9.07M,8380,619
Ecuador,1985,9.29M,8440,602
Ecuador,1986,9.52M,7750,601
Ecuador,1987,9.76M,8400,615
Ecuador,1988,9.99M,8240,574
Ecuador,1989,10.2M,8290,619
Ecuador,1990,10.5M,8450,635
Ecuador,1991,10.7M,8430,629
Ecuador,1992,11M,8410,573
Ecuador,1993,11.2M,8570,600
Ecuador,1994,11.5M,8580,687
Ecuador,1995,11.7M,8540,708
Ecuador,1996,12M,8720,720
Ecuador,1997,12.2M,8830,725
Ecuador,1998,12.4M,8240,639
Ecuador,1999,12.7M,8180,695
Ecuador,2000,12.9M,8350,724
Ecuador,2001,13.1M,8540,695
Ecuador,2002,13.4M,8630,693
Ecuador,2003,13.6M,9180,658
Ecuador,2004,13.8M,9500,675
Ecuador,2005,14.1M,9760,667
Ecuador,2006,14.3M,9810,742
Ecuador,2007,14.5M,10.3k,672
Ecuador,2008,14.8M,10.1k,788
Ecuador,2009,15M,10.3k,784
Ecuador,2010,15.2M,11k,818
Egypt,1970,35.3M,2620,221
Egypt,1971,36.1M,2650,238
Egypt,1972,36.9M,2700,217
Egypt,1973,37.7M,2770,238
Egypt,1974,38.5M,3020,254
Egypt,1975,39.4M,3440,289
Egypt,1976,40.3M,3820,309
Egypt,1977,41.3M,4020,311
Egypt,1978,42.3M,4250,334
Egypt,1979,43.3M,4590,349
Egypt,1980,44.4M,4650,396
Egypt,1981,45.5M,5020,423
Egypt,1982,46.7M,5290,457
Egypt,1983,48M,5490,494
Egypt,1984,49.3M,5720,521
Egypt,1985,50.6M,5740,521
Egypt,1986,52M,5800,540
Egypt,1987,53.4M,5960,538
Egypt,1988,54.8M,6050,560
Egypt,1989,56.1M,6090,575
Egypt,1990,57.4M,6020,562
Egypt,1991,58.7M,6150,564
Egypt,1992,59.9M,6200,573
Egypt,1993,61.1M,6320,541
Egypt,1994,62.3M,6480,564
Egypt,1995,63.6M,6670,586
Egypt,1996,64.9M,6900,598
Egypt,1997,66.2M,7140,629
Egypt,1998,67.5M,7420,630
Egypt,1999,68.8M,7750,590
Egypt,2000,70.2M,7870,650
Egypt,2001,71.5M,7910,658
Egypt,2002,72.8M,8010,670
Egypt,2003,74.2M,8180,711
Egypt,2004,75.5M,8400,814
Egypt,2005,76.9M,8810,845
Egypt,2006,78.2M,9280,889
Egypt,2007,79.6M,9760,908
Egypt,2008,81.1M,10k,911
Egypt,2009,82.8M,10.3k,877
Egypt,2010,84.5M,10.3k,901
Spain,1970,34.3M,12.4k,1240
Spain,1971,34.7M,13.7k,1300
Spain,1972,35.1M,14.8k,1470
Spain,1973,35.5M,15.9k,1580
Spain,1974,35.9M,16.3k,1610
Spain,1975,36.3M,17k,1710
Spain,1976,36.7M,17.5k,1660
Spain,1977,37M,18k,1760
Spain,1978,37.4M,18.2k,1770
Spain,1979,37.7M,18.8k,1810
Spain,1980,38M,18.8k,1820
Spain,1981,38.2M,19.1k,1760
Spain,1982,38.4M,19.5k,1780
Spain,1983,38.6M,19.8k,1810
Spain,1984,38.7M,20.4k,1840
Spain,1985,38.9M,21.3k,1880
Spain,1986,39M,22.9k,1920
Spain,1987,39M,24.5k,2070
Spain,1988,39.1M,26.2k,2270
Spain,1989,39.2M,27.6k,2320
Spain,1990,39.3M,28.3k,2400
Spain,1991,39.4M,28.4k,2430
Spain,1992,39.5M,27.9k,2320
Spain,1993,39.7M,28.5k,2440
Spain,1994,39.8M,29.1k,2540
Spain,1995,39.9M,29.8k,2490
Spain,1996,40M,30.8k,2630
Spain,1997,40.2M,32k,2760
Spain,1998,40.5M,33.3k,2880
Spain,1999,40.8M,34.9k,3000
Spain,2000,41.3M,36k,3060
Spain,2001,41.9M,36.5k,3110
Spain,2002,42.6M,36.9k,3160
Spain,2003,43.3M,37.4k,3240
Spain,2004,44M,38.1k,3250
Spain,2005,44.7M,39k,3190
Spain,2006,45.4M,39.6k,3180
Spain,2007,46.1M,39.4k,3030
Spain,2008,46.6M,37.5k,2760
